"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"1802","472-NW",604,"meters",-113.571747,56.993167,TRUE
"1803","512-NW",455,"meters",-110.742599,56.56314,TRUE
"1804","600-NW",479,"meters",-112.548492,56.176391,TRUE
"1805","663-NW",559,"meters",-113.027748,55.847248,TRUE
"1806","793-NW",578,"meters",-111.73012,54.976463,TRUE
"1807","855-NW",594,"meters",-112.363113,54.682022,TRUE
"1808","990-NW",640,"meters",-111.464218,53.872203,TRUE
"1809","1056-NW",656,"meters",-111.814735,53.557827,TRUE
"1810","15-NW",215,"meters",-111.907753,59.783935,TRUE
"1811","236-NW",220,"meters",-112.436066,58.374332,TRUE
"1812","266-NW",389,"meters",-112.512741,58.205688,TRUE
"1813","331-NW",362,"meters",-110.613266,57.633213,TRUE
"1814","34-NW",239,"meters",-111.939857,59.565719,TRUE
"1815","360-NW",413,"meters",-110.709099,57.468082,TRUE
"1816","390-NW",577,"meters",-110.721565,57.268985,TRUE
"1817","443-NW",636,"meters",-113.191315,57.134647,TRUE
"1818","444-NW",537,"meters",-112.87368,57.164497,TRUE
"1819","473-NW",539,"meters",-113.249763,57.02507,TRUE
"1820","474-NW",519,"meters",-112.872215,56.952861,TRUE
"1821","512-NW",455,"meters",-110.742599,56.56314,TRUE
"1822","543-NW",455,"meters",-110.807022,56.367294,TRUE
"1823","544-NW",469,"meters",-110.536407,56.315376,TRUE
"1824","574-NW",582,"meters",-110.90043,56.174919,TRUE
"1825","601-NW",553,"meters",-112.27784,56.145565,TRUE
"1826","664-NW",532,"meters",-112.605179,55.852993,TRUE
"1827","793-NW",578,"meters",-111.73012,54.976463,TRUE
"1828","794-NW",762,"meters",-111.336494,54.970066,TRUE
"1829","857-NW",595,"meters",-111.759758,54.640964,TRUE
"1830","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"1831","14-NW",251,"meters",-112.230896,59.796966,TRUE
"1832","234-NW",245,"meters",-113.046516,58.418022,TRUE
"1833","2-NW",193,"meters",-112.202679,59.970813,TRUE
"1834","331-NW",362,"meters",-110.613266,57.633213,TRUE
"1835","33-NW",285,"meters",-112.275978,59.646675,TRUE
"1836","389-NW",367,"meters",-111.113747,57.299912,TRUE
"1837","3-NW",214,"meters",-111.849083,59.94268,TRUE
"1838","512-NW",455,"meters",-110.742599,56.56314,TRUE
"1839","543-NW",455,"meters",-110.807022,56.367294,TRUE
